id;postcode;number;position;address_line_1;address_line_2;town;county
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports;needs-based Passage;Customer Cambridgeshire end-to-end;web-readiness copy;Chips purple
2;bypass microchip;Table invoice;Berkshire Designer the;solution policy Grove;Bike Timor-Leste grow;Account;Toys contextually-based Sausages
3;National Soap;calculating Shoes;HTTP grow USB;Dinar;quantifying;bus;National
4;Taka JBOD state;blue invoice;Administrator Borders Greece;Identity calculate bus;calculate;boliviano;time-frame
5;Tasty Cuban;deposit;Orchestrator Dynamic Pound;firewall;Pizza;virtual;generating Computer
6;open-source Montana;analyzer;regional Regional withdrawal;Plastic Investor back;Profound;Forward;Licensed
7;optimize Frozen Tasty;calculate;generation Grocery;application;Beauty Court;mint Ramp;Chicken killer cyan
8;channels;grow;Frozen Specialist Granite;Jewelery;up Kids;Industrial USB;solid
9;Licensed;payment wireless;integrated Concrete bypassing;microchip Toys;Practical;action-items THX;Franc Dakota
10;Frozen user-facing;Wells South override;SMTP primary;International;Sleek Springs Health;Loan;defect Incredible blue
